Complexity,Loss,Equation
1,3.0239706e-5,"2.0045447"
5,2.515164e-5,"(inv_zeta * 0.0031320304) - -1.9991078"
7,2.2170181e-5,"((inv_zeta * inv_zeta) * 0.0008499278) + 2.001543"
9,0.0,"(inv_zeta * 0.027032396) + ((0.10023602 / inv_zeta) - -1.892752)"
