Complexity,Loss,Equation
1,50.37124,"0.02424571"
3,1.6948469,"inv_zeta * 0.009986213"
5,1.2126952,"(inv_zeta * 0.009133061) + 0.0023040874"
7,0.25141063,"(inv_zeta * (inv_zeta * 0.0018446919)) + 0.012275359"
9,1.1455736e-9,"(((inv_zeta * 0.003376632) + -0.0076862294) * inv_zeta) + 0.020800175"
